projection,prefill_pcycles,prefill_share%,decode_pcycles,decode_share%
q_proj,43784867,5.2573,32593873,4.5368
k_proj,9019375,1.0830,15357496,2.1377
v_proj,12865263,1.5448,13920495,1.9376
o_proj,56700542,6.8082,44525011,6.1976
gate_proj,176471128,21.1893,158873027,22.1140
up_proj,188801776,22.6698,214099623,29.8012
down_proj,139528913,16.7535,161922872,22.5386
lm_head,35815655,4.3005,39016326,5.4308
attn_other,131421311,15.7800,22246022,3.0965
mlp_other,27079298,3.2515,10638738,1.4808
other,11344675,1.3622,5232750,0.7284
