phase,call,module_name,us
prefill,0,model.embed_tokens,1466.56
prefill,0,model.layers.0.input_layernorm,8253.28
prefill,0,model.layers.0.self_attn.q_proj,12392.8
prefill,0,model.layers.0.self_attn.k_proj,6458.8
prefill,0,model.layers.0.self_attn.v_proj,6231.93
prefill,0,model.layers.0.self_attn.q_norm,755
prefill,0,model.layers.0.self_attn.k_norm,165
prefill,0,model.layers.0.self_attn.q_rope,473.229
prefill,0,model.layers.0.self_attn.k_rope,167.135
prefill,0,model.layers.0.self_attn.qk_matmul,1831.88
prefill,0,model.layers.0.self_attn.mask,433.281
prefill,0,model.layers.0.self_attn.softmax,314.948
prefill,0,model.layers.0.self_attn.av_matmul,2006.88
prefill,0,model.layers.0.self_attn.o_proj,12257
prefill,0,model.layers.0.self_attn,83924.1
prefill,0,model.layers.0.post_attention_layernorm,466.614
prefill,0,model.layers.0.mlp.gate_proj,38089.4
prefill,0,model.layers.0.mlp.act,2997.76
prefill,0,model.layers.0.mlp.up_proj,37115.1
prefill,0,model.layers.0.mlp.down_proj,37934.5
prefill,0,model.layers.0.mlp,118358
prefill,0,model.layers.0,226619
prefill,0,model.layers.1.input_layernorm,356.406
prefill,0,model.layers.1.self_attn.q_proj,12208.6
prefill,0,model.layers.1.self_attn.k_proj,8171.98
prefill,0,model.layers.1.self_attn.v_proj,6647.97
prefill,0,model.layers.1.self_attn.q_norm,586.979
prefill,0,model.layers.1.self_attn.k_norm,345.938
prefill,0,model.layers.1.self_attn.q_rope,449.323
prefill,0,model.layers.1.self_attn.k_rope,539.532
prefill,0,model.layers.1.self_attn.qk_matmul,2188.7
prefill,0,model.layers.1.self_attn.mask,944.062
prefill,0,model.layers.1.self_attn.softmax,645.625
prefill,0,model.layers.1.self_attn.av_matmul,2131.82
prefill,0,model.layers.1.self_attn.o_proj,12305.6
prefill,0,model.layers.1.self_attn,47725.1
prefill,0,model.layers.1.post_attention_layernorm,912.343
prefill,0,model.layers.1.mlp.gate_proj,35685.7
prefill,0,model.layers.1.mlp.act,758.438
prefill,0,model.layers.1.mlp.up_proj,35681
prefill,0,model.layers.1.mlp.down_proj,36064.8
prefill,0,model.layers.1.mlp,108367
prefill,0,model.layers.1,158470
prefill,0,model.layers.2.input_layernorm,551.562
prefill,0,model.layers.2.self_attn.q_proj,12543.5
prefill,0,model.layers.2.self_attn.k_proj,6559.84
prefill,0,model.layers.2.self_attn.v_proj,6374.17
prefill,0,model.layers.2.self_attn.q_norm,715
prefill,0,model.layers.2.self_attn.k_norm,632.604
prefill,0,model.layers.2.self_attn.q_rope,626.979
prefill,0,model.layers.2.self_attn.k_rope,628.489
prefill,0,model.layers.2.self_attn.qk_matmul,2105
prefill,0,model.layers.2.self_attn.mask,181.198
prefill,0,model.layers.2.self_attn.softmax,290.73
prefill,0,model.layers.2.self_attn.av_matmul,1972.87
prefill,0,model.layers.2.self_attn.o_proj,11929.6
prefill,0,model.layers.2.self_attn,48559.8
prefill,0,model.layers.2.post_attention_layernorm,188.386
prefill,0,model.layers.2.mlp.gate_proj,35114.8
prefill,0,model.layers.2.mlp.act,249.062
prefill,0,model.layers.2.mlp.up_proj,35029.9
prefill,0,model.layers.2.mlp.down_proj,35728.8
prefill,0,model.layers.2.mlp,106223
prefill,0,model.layers.2,156148
prefill,0,model.layers.3.input_layernorm,275.52
prefill,0,model.layers.3.self_attn.q_proj,12465.1
prefill,0,model.layers.3.self_attn.k_proj,6592.66
prefill,0,model.layers.3.self_attn.v_proj,6627.19
prefill,0,model.layers.3.self_attn.q_norm,734.844
prefill,0,model.layers.3.self_attn.k_norm,368.438
prefill,0,model.layers.3.self_attn.q_rope,637.813
prefill,0,model.layers.3.self_attn.k_rope,632.812
prefill,0,model.layers.3.self_attn.qk_matmul,2125.16
prefill,0,model.layers.3.self_attn.mask,563.437
prefill,0,model.layers.3.self_attn.softmax,776.875
prefill,0,model.layers.3.self_attn.av_matmul,2553.85
prefill,0,model.layers.3.self_attn.o_proj,12327
prefill,0,model.layers.3.self_attn,50557.8
prefill,0,model.layers.3.post_attention_layernorm,583.906
prefill,0,model.layers.3.mlp.gate_proj,35621.9
prefill,0,model.layers.3.mlp.act,636.406
prefill,0,model.layers.3.mlp.up_proj,35712.5
prefill,0,model.layers.3.mlp.down_proj,35881.2
prefill,0,model.layers.3.mlp,108111
prefill,0,model.layers.3,160381
prefill,0,model.layers.4.input_layernorm,644.114
prefill,0,model.layers.4.self_attn.q_proj,12159.5
prefill,0,model.layers.4.self_attn.k_proj,6475.05
prefill,0,model.layers.4.self_attn.v_proj,6706.88
prefill,0,model.layers.4.self_attn.q_norm,749.062
prefill,0,model.layers.4.self_attn.k_norm,356.354
prefill,0,model.layers.4.self_attn.q_rope,616.146
prefill,0,model.layers.4.self_attn.k_rope,653.438
prefill,0,model.layers.4.self_attn.qk_matmul,2168.75
prefill,0,model.layers.4.self_attn.mask,568.75
prefill,0,model.layers.4.self_attn.softmax,887.865
prefill,0,model.layers.4.self_attn.av_matmul,2319.95
prefill,0,model.layers.4.self_attn.o_proj,12383
prefill,0,model.layers.4.self_attn,50140.8
prefill,0,model.layers.4.post_attention_layernorm,590.677
